Review,DocID,title
"Everything looked like it should. The only reason I didn't give it 5 stars is because not all of the hardware was in the box to put it together, so we had to find items that would work.",1,barbie
My daughter loves her new house.. Its a definite upgrade from her last house. It has everything you can possibly dream of!,2,barbie
"Easy to set up(couple hours),very detailed.I wish I could have a toy like this when I was little:)",3,barbie
The kid is nuts about this big ugly thing!,4,barbie
Great,5,barbie
Well its about a year later house is still fine. Elevator broke probably girls fault. Many pieces are lost lol but they still enjoy playing with it. Paired it with barbie car and its a set.An example of great quality barbie car than can hold 30 lb 2 year old girl. I know she is a heavy one hahhaha.,6,barbie
My daughter loves!!! this doll house! It took her forever to put it together but she loves it! It<U+2019>s HUGE!!! A great buy Amazon saved the day!! I called all around and everyone was sold out! It<U+2019>s been two months now and all the pieces still work! Lol she<U+2019>s (we<U+2019>re) having lots of fun!,7,barbie
this house is as tall as my granddaughter. She loves it . She puts her Barbie and friends in it  and creates stories about their visit to the dreamhouse.. It is beautiful also. This. is why I love it. It inspires her imagination..,8,barbie
Excellent! Very impressed!,9,barbie
Perfect! Didn<U+2019>t take too long to put together and we had as much fun doing that as my niece has playing with it.,10,barbie
Kids love it but wish the quality was a little better. Keep having to reattach the elevator. I tell the kids to have Barbie use the stairs instead!,11,barbie
House is great. One problem: elevator usually has problems when you try to get it up,12,barbie
Beautiful house! My daughter loved it!,13,barbie
This toy was a matter of great satisfaction to my granddaughter!!!,14,barbie
"easy to assemble, and good quality. daughters love it",15,barbie
This thing is SO COOL.  I would have killed to have something like this as a kid!,16,barbie
Horrible to put together but other than that my daughter loves it.,17,barbie
My husband gave me this for Christmas and I loved it. Took a bit of time to put the furniture together but it was easy. My girlfriends were so jealous  I played with it all day like I was a kid. But I<U+2019>m almost 50.,18,barbie
My daughter loved it! Christmas was her favorite,19,barbie
Originally was gonna get the talking Barbie dream house. Glad that I heard it wasn't the rave and had to have Wi-Fi to work. Which means less electronics for my little to have possession of and more imagination building. I was afraid that my little may be disappointed on Christmas. But it was the opposite. She announced Santa was awesome because this was bigger and better then the other one. So she had to have been a really good girl. It is also a hit with her friends that come. Easy to put together as well.,20,barbie
Very nice my .Daugther love it,21,barbie
Very disappointed.  Elevator broke already and garage will be next. Granddaughter complains that than Barbies are too tall to fit through door ways. She probably would have been happier if we made one out of cardboard boxes.The plastic is very fragile. Waste of money.,22,barbie
Thank you!,23,barbie
This was a gift for a sick little girl. She absolutely loved it.,24,barbie
"Purchased this for my Granddaughter for Christmas, it was the biggest box by the tree, she could hardly wait to open it and when she did she screamed with joy...a must have for your Barbie fanatic.",25,barbie
loved it,26,barbie
My granddaughter was very very excited with this Barby house.,27,barbie
"I<U+2019>m disappointed with the quality. This was the one thing my daughter wanted for her birthday and while she loves it, it is already breaking down. The elevator string broke within 6 months and the cardboard roof tops are tearing as well. The garage comes off regularly and has to be put back on its track. He one I had when I was her age (6) lasted years. We will be lucky to get a year out of this one. I wish we would have gone with a wooden one. I just wanted to get her this more classic one. Lesson learned.",28,barbie
"Fast shipping.  Directions were fair, I had to keep looking at the picture. I'm glad I waited until after Christmas and paid less.  I would not have been pleased if I had to pay full price.",29,barbie
Excellent Product!,30,barbie
"This reproduction Dream House is just like the original I had as a child. I had bought two in the past on eBay looking for one in this good of shape. So thrilled Mattel brought this back. Simply love it. You will have to assemble the furniture, which I have not done yet but it looks easy enough, plus it comes with a Barbie as well. Great buy!",31,barbie
Granddaughter loved it!,32,barbie
"Daughter loved it, plays with it every day but only had it a month before the string for the elevator got tied up and won<U+2019>t work",33,barbie
Very easy to put together and very big... My 4 year old loves it!,34,barbie
"Alot of assembly for the ""elves"" directions could be a little better ... daughter loved it !!",35,barbie
My daughter loves it,36,barbie
My niece loves it.,37,barbie
Bought this for my granddaughter for Christmas. She was thrilled with it. Easy to snap pieces.,38,barbie
As expected,39,barbie
Extremely easy to put together!,40,barbie
"Never had one as a girl, but it sure did bring back a lot of memory",41,barbie
excelente,42,barbie
"Everything there and easy to set up, only problem is I had the option for a plain brown box which I thought was awesome because it was a Christmas present for my daughter. But when it arrived it was in a brown box and had Barbie all over the box so needless to say it kinda ruined the surprise. She was still happy though.",43,barbie
My Granddaughter lives it,44,barbie
My granddaughter received this for Christmas and she loves it.,45,barbie
Was perfect and beautiful,46,barbie
Beautiful!!,47,barbie
"Granddaughter loves this Dreamhouse! The only down fall was the elevator broke next day, but this was remedied by supplier the next few days",48,barbie
my daughter's favorite toy!,49,barbie
"Got it for my 7yr old for Christmas she loves it.  Played with it all day Christmas day and still plays with it every night. I would only change one thing the fish tank, bathroom and latern are all the same thing all work on the same piece with the running water sound, lights etc... so you have to switch it around. You can't play with it all at once",50,barbie
It turned out fine.,51,barbie
My granddaughter love that the price and the speedy delivery time,52,barbie
"It arrived to our home with one of the interlocking pieces broken. The elevator gets stuck every now and then. Other, than that my daughter enjoys it.",53,barbie
My granddaughter loves it she has spent hours playing with it very happy,54,barbie
My granddaughter loves it some of the moving parts don<U+2019>t stay in place like the garage door.,55,barbie
It came with a lot of pieces  furniture etc but it is made out plastic ;but my granddaughter really enjoys it a lot,56,barbie
It's a great doll house. Came with everything. Instructions were easy to follow. It's real sturdy.,57,barbie
"Everything was goodWhen we opened the box , the pool that goes on the side was brokeIf you could ship that part that would be great",58,barbie
My granddaughter loves it,59,barbie
Beautiful!!,60,barbie
Great quality doll house.  It was surprisingly easy to put together for how many pieces it has.  It has held up well and that includes an hour drive in the back of a jeep all put together!,61,barbie
"This was pretty easy to assemble, however, you do have to be careful with the elevator as it is not very durable and easily breaks or becomes unattached. My 5 YO daughter is very easy on toys, but knows she has to be careful with certain parts of the dreamhouse otherwise they may break. She really does love playing with it.",62,barbie
I really thought it was bigger and we thought we bought the doll house we thought it was the other one that have voice command,63,barbie
Daughter plays with this daily. Absolutely loves it.,64,barbie
"the elevator broke after a few weeks, but daughter still enjoys playing with it. It is HUGE!",65,barbie
I was a little worried it would be hard to put together but it was not at all! Took two of us only about an hour. It is absolutely adorable and my little girl loves it!,66,barbie
Great gift and only two took hours to put up.  My husband videoed the construction of it stating we had to beat the timeframe of friends of ours who encouraged us to get this for our daughter.  Two downsides: 1) the elevator keeps getting jam as the string that controls it is inside so can't reach in to fix it and 2) hosting lots of playdates as all her friends want to play with it.,67,barbie
"I HATE barbies with passion, but I have to say, for the cheap plastic house, this one is well designed and fun.It's been a month, but nothing is broken so far.Garage door design is clever, but doesn't work as well as it looks...Oh well, you can't expect much from Mattel.My 9 year old daughter had fun putting this together with my not so ""handy"" husband.",68,barbie
Our 3 year old daughter loves this and plays with it daily. It was super easy to set up.,69,barbie
"Daughter loves it, though the string for the elevator kept coming off, it needs some trimming to keep it tight.",70,barbie
"This was a hit on Christmas morning. My husband and I put it together before hand, and it took about an hour, and that included putting the stickers on. Great quality",71,barbie
Didn't realize it was so large but the grandchildren love it. I think they forgot about the other toys in the playroom. Well worth the cost.,72,barbie
"My daughter loves it but for the price it feels flimsy and cheaply made. The elevator doesn't work right, the garage door gets stuck and the oven\dishwasher doors fall off. I don't see this lasting long.",73,barbie
Granddaughter loves it!,74,barbie
This thing is HUGE! My daughter loves it and no problems with the elevator thus far. Only complaint is there are SO many tiny pieces!,75,barbie
"My daughter loves this and it was easy to assemble as all the pieces snap on. The elevator was working fine but after about a month of being used, it doesn't go all the way to the top as it used to.. it is just a tad off. But daughter doesn't care so i guess it's all good!",76,barbie
A prefect gift for my niece she loves it.,77,barbie
Easy to put togeather. Child loved it. Came within days of ordering.,78,barbie
Perfect my 4 year old loves it !,79,barbie
I bought this for my 11 year old daughter. She loves it & plays with it almost every day. It's of good quality & a nice size too.,80,barbie
The only thing I have to say is a bit large to wrap. But I used 2 rolls of wrapping paper. Other than that product meets all expectations.,81,barbie
"Pain to put together to be honest. Lots of stickers and lots of VERY small pieces. Once put together, it can be moved but not easily. Very tall.",82,barbie
All the pieces were in the box. Very easy to put together. My 4 year old daughter was very happy with the house. She plays with it everyday.,83,barbie
My girls haven't stopped playing with it,84,barbie
"my daughters love the dream house, comes with tons of accessories and its a great size. easy to move around if needed and putting together was a breeze!! totally recommend it!!",85,barbie
"This is way too expensive, too difficult to put together, and had no challenges for kids.",86,barbie
"Daughter loves it and it<U+2019>s so cute! Much more accessible than the last dream house they came out with. At first assembly looked intimidating, but it was pretty easy once I started.",87,barbie
"Apparently this is every little girls dream toy. I have nightmares of fixing this damn thing every time she plays with it.  Only reason it got 2 stars is because she loves it and it was reasonably easy to put together. The elevator  system is on a string with pulleys at each end. The string always falls off the pulleys. So you have to take apart and put the string back on. The garage door comes off track and is in a bind every time you try to open it.  The only plus out of this damn thing is that I'm a hero because I can fix it. Seriously my little girl has nicknamed me ""Handy Dandy Daddy"".For all the fixers out there remove the pillar at the top right. Then remove screw that is at the top/inside then all you have to do is fish that string back onto the center of the pulley.  Happy Fixing!!",88,barbie
The house arrived dirty and untidy.,89,barbie
Daughter loves it. Simple to assemble,90,barbie
Bought this for my 4 year old for Christmas. This is all she talked about for months before Christmas. We got this as her <U+201C>Santa<U+201D> gift. We built it the night before and it had two broken parts! Pretty disappointing,91,barbie
"The Elevator Shaft came damaged .we cant take it back ,the dream house is Sanat's gift to my 4 year old.we need new elevator shaft for the barbie house ,but we dont have the option online to make the exchange",92,barbie
This was a gift for my granddaughter and she loves it!!!,93,barbie
Excellent,94,barbie
"My granddaughter loved it! It came with so many accessories, each room is so cute. It has a working elevator which she had me take a ride on being that she was giving me the grand tour while we were doing FaceTime on her Moms phone. I just glad she<U+2019>s using her own imagination and taking time a break from video games and you tube!",95,barbie
Granddaughter LOVES it <3,96,barbie
It was identical to the one I received as a child....thanks for brining this back!,97,barbie
My 4 year old daughter got this for Christmas and adores it. She plays with it every day. It<U+2019>s pretty sturdy and easy for her to use. I know this is something she will get years of play out of.,98,barbie
"Easy to put together, and the kids love playing with it.",99,barbie
SUPER easy to put together!!!! This was one happy mom on Christmas Eve lol,100,barbie
I<U+2019>m amazed by how easy this doll house was to put togeather. No tools required! I had it built in less than 30 minutes. My daughtes love it.,101,barbie
Arrived on time.  It was easy to assemble and I like the quality of the furniture.,102,barbie
"<U+00A0>Really disappointed, after having spent nearly $200 with taxes on this i was expecting a high quality product. The elevator broke within days and in order to fix it you have to tip over the entire dream house , spill the contents on the floor and fix the poorly designed cheap ribbon pulley system which comes back of the tracks within a day of play.My daughter is super gentle with her toys for a five year old so if it<U+2019>s breaking with her I would imagine it breaks with most kids.The other exciting features also don<U+2019>t work properly (video included) this is super disappointing. I scrimped and saved to buy this toy and the features that attracted my daughter to it don<U+2019>t work properly.",103,barbie
We did not get any of the stickers and didn<U+2019>t get most of the attachments furniture and the pieces to put it all together. Many pieces missing.,104,barbie
Easy to assemble,105,barbie
My daughter loves it. Assembly was reasonably easy. Be warned though. It's huge!!!,106,barbie
Incredible details but still easy to assemble. It only took 20-30 minutes and it was ready for play time. My three year old daughter loved it and plays with it daily.,107,barbie
This was a thrill for my granddaughter to get on Christmas morning. She plays with it everyday.,108,barbie
easy to install but arrived late,109,barbie
Loved it!!!,110,barbie
My doughter plays a lot with the dreamhouse. I love it because it take her out of television or tablets. She loves it!,111,barbie
Much easier to put together than anticipated. Daughter enjoyed all the little extras that came with it. Make sure to have batteries and a screwdriver on hand for assembly,112,barbie
"This house is a beautiful replica of the first Barbie dream house. It is made of very sturdy cardboard, but it still looks good enough for displaying. The doll that comes with is exquisite. Great product for adult collectors for the price. Highly recommend.",113,barbie
Don<U+2019>t think I got my money worth all I bought a lot wasn<U+2019>t what I thought paid a lot aquilty was not that good,114,barbie
It was the hit of Christmas for my 4 year old daughter who absolutely loved it,115,barbie
Received this with broken parts. The garage door does not stay on. It keeps falling off the tracks even when you're not trying to open it. So disappointed.,116,barbie
"Although daughter loves the dollhouse and secretly wished for it, product is alright. Lots of plastic that seems thin and not durable to last a long time. Disappointed the manufacture incorporated black accents into design. There is only 1 piece of furniture that interchanges with several pieces that enables the electronic mechanism. That is very disappointing as you have to change the pieces when those pieces belong in different parts of the dollhouse. Why would the manufacture design it this way? No bottom to garage either. Very disappointed and not worth the money, even if on sale.",117,barbie
"Assembly was easy, no missing or damaged parts. The build quality is what you would expect. I had a problem with the elevator (the string kept coming off of the pulleys, but an adjustment to the string length helped) but no other issues.",118,barbie
"Unfortunately it came with a broken piece!  I'm noticing g this as I'm assembling the 3rd floor parlor.  Also,  the decal that came affixed is also crooked.  Not tearing this apart now.  Guess I'll use duct tape!!!",119,barbie
Wicked easy to put together.  my 6 year old loves it.,120,barbie
My little girls love this and play with it for hours!!,121,barbie
box was damaged but nothing broke.,122,barbie
Great product.  My daughter love it. Easy to assemble,123,barbie
"For the price it is not worth it, but as most of us buying this I have a daughter who wanted this for Christmas so I had to buy it basically. It is pretty impressive out together and she loves it. I assembled it Christmas Eve and it took a little over an hour. I would expect it to take anywhere from 1 to 2 1/2 hours to put together. I watch a YouTube video and it really sped the process up for me. Materials are sturdy and moving parts on the elevator work well. It is large and lots of rooms to play with. Overall it is a great product with hefty price tag, if you have to buy it your daughter will be happy.",124,barbie
"We bought the Barbie Dreamhouse for my granddaughter for Christmas,she love it until the elevator stop working. We are afaraid to get another it might do the same thing.",125,barbie
It came in perfect condition. My daughter loves it. Hours of playtime.,126,barbie
