Review,DocID,title
More of the same. Good ideas and ideals like her other books but this felt a little repetitive.  I got something out of it but I was glad it was a quick read and that I didn't have to invest a lot.  The harder work comes in implementing.,1,ebook
I absolutely LOVE everything that Brene Brown writes!,2,ebook
Brene' Brown shares her personal stories in a way that I can use them in my own life. An amazing gift.,3,ebook
"I love the outdoors, particularly wilderness.  Braving the Wilderness is an inspirational book about finding our way from that place to which we often retreat, back to courage and connection. It<U+2019>s about learning to be with people without sacrificing our own values. It<U+2019>s about the wilderness within ourselves.Author and social scientist Bren<U+00E9> Brown, PhD, LMSW sees a serious disconnection in today<U+2019>s society. But much of the disconnection is within ourselves. It takes bravery to believe in and belong to ourselves, to resist fitting in because it<U+2019>s the popular thing to do. To be willing to stand alone is a wilderness.Our world is in crisis with gaping differences in politics and ideology. We need to find ways to connect, to share power among people, not over people. In order to effectively do this, we must learn how to be with people without letting go of who we are.Brown lists four practices that challenge how we think about ourselves and how we can connect with others:<U+2013> People are hard to hate close up: Move in.<U+2013> Speak truth to BS. Be civil.<U+2013> Hold hands. With strangers.<U+2013> Strong back. Soft Front. Wild Heart.As Brown elaborates on these four principles, it becomes clear that it is possible to stand alone and be who we are, yet celebrate being a part of the whole, of making a valuable contribution, of belonging.Braving the Wilderness: The Quest for True Belonging and the Courage to Stand Alone is a serious book, yet still an enjoyable read. Bren<U+00E9> Brown draws on personal experiences, even painful ones, to demonstrate her beliefs, and she draws on her expertise as a research professor at the University of Houston studying courage, vulnerability, shame, and empathy. I highly recommend this book for yourself, or for someone you love.",4,ebook
Loved this book.,5,ebook
"This is a good book where Brene raises some vital questions that will help us learn to listen to one another and speak with one another in a respectful manner. This is a timely reminder at the time of political and spiritual divisiveness. That said, I've found this book not as well organized and presented as her previous books and in my opinion has fewer examples compared to (for instance) Daring Greatly, which is by far my favorite.",6,ebook
I bought the book from EverythingMerchant. Pages 2 and 3 were missing and all of chapter one was out if order. Otherwise Brene Brown's book was so authentic. Highly recommend for someone who needs a little push into the right direction!,7,ebook
"I am not normally a self-help or personal improvement book fan. Books like Who Moved My Cheese? usually leave me with an intense urge to head for the hills. It<U+2019>s not that I don<U+2019>t believe in self improvement, I just don<U+2019>t think I can clich<U+00E9> my way to a better state of being or hug myself enough to make paying bills seem like a true joy.I had caught one of Brene Brown<U+2019>s TED Talks on shame and had liked it, showing it to both my college students and to women in a domestic violence program with whom I worked. I thought she had some valid points regarding vulnerability and openness, so, despite my misgivings about the premise of the genre overall, I read Brown<U+2019>s Braving the Wilderness.I was immediately struck by the thesis of her book, the idea that true belonging doesn<U+2019>t require us to be who others want us to be, but being who you really are regardless of where you are or who you are surrounded by. This is a thesis that she then breaks down into sections that are easy to follow and implement, showing how only by being willing to be vulnerable and open to others<U+2019> points of view will we truly grow in ourselves.Brown<U+2019>s points are equally backed by research, that both she and others have conducted, and her own anecdotal narratives. She does an excellent job throughout in presenting historical context and the results of scientific research without bogging down her points or interrupting the almost poetic flow of the writing. As someone in a PhD program, I was glad to see that she did not sacrifice the data and research in favor of flowery maxims, and managed to still make it interesting to those who may not care as much about the data-driven side of things.The narrative voice that Brown uses in this book is powerful. There are moments that will give you pause as you take a second to absorb what Brown has just told you. Her writing is honest, heartfelt and vulnerable, all of which makes her easy to relate to on a human level. The tone of the book does not come across as a guru on top of the mountain dispersing wisdom, but instead more as a friend who sees your struggles and wants to help you out.Probably the most significant impact of this book, however, is not so much its call for people to find their inner voices, but the appeal to us to remember the humanity in others. Throughout the book Brown pleads for a more civil society, one where we draw lines in the sand between holding to our own values and resisting the urge to dehumanize others. <U+201C>There is a line. It<U+2019>s etched from dignity,<U+201D> she writes, and then proceeds to chip away at the structures that keep us from reaching out to others in a meaningful way. While the book has great advice on building up to one<U+2019>s own potential, the biggest impact her book may have is in its ability to help people learn to bridge gaps with those they might not otherwise reach.One critique I do have for this work is that there were a few places where Brown felt like she might be reaching a bit, not in logical scope, but in word count. There were areas in the book that felt a little repetitive and where it felt like Brown was just trying to make a page out of a paragraph. However, these moments were few, and did not detract much from the overall messages that Brown was trying to get across.This book is a quick read, but one that will make you think. If you enjoyed books like Duckworth<U+2019>s Grit, Levitt and Dubner<U+2019>s Freakonomics, or van Dernoot Lipsky<U+2019>s Trauma Stewardship, then this book will be right up your alley. Braving the Wilderness is worth braving a trip to the bookstore.",8,ebook
Very deep and eye opening. Great reading,9,ebook
This book gave guidance too many topics that are pertinent to current topics.  It might help you be more civil in your next friendly debate.,10,ebook
