hotel,url
RJ Resort,https://www.tripadvisor.in/Hotel_Review-g304557-d1863831-Reviews-R_J_Resort-Darjeeling_Darjeeling_District_West_Bengal.html
Hotel Broadway,https://www.tripadvisor.in/Hotel_Review-g304557-d1962918-Reviews-Hotel_Broadway_Annexe-Darjeeling_Darjeeling_District_West_Bengal.html
Central Heritage,https://www.tripadvisor.in/Hotel_Review-g304557-d479056-Reviews-Central_Heritage_Resort_and_Spa_Darjeeling-Darjeeling_Darjeeling_District_West_Bengal.html
Travellers Inn,https://www.tripadvisor.in/Hotel_Review-g304557-d1211037-Reviews-Travellers_Inn-Darjeeling_Darjeeling_District_West_Bengal.html
Dekeling Resot,https://www.tripadvisor.in/Hotel_Review-g304557-d410090-Reviews-Dekeling_Resort_at_Hawk_s_Nest-Darjeeling_Darjeeling_District_West_Bengal.html
Zodiax,https://www.tripadvisor.in/Hotel_Review-g304557-d1156447-Reviews-Hotel_Zodiac-Darjeeling_Darjeeling_District_West_Bengal.html
Mt himalayan,https://www.tripadvisor.in/Hotel_Review-g304557-d3491074-Reviews-Mount_Himalayan_Resort-Darjeeling_Darjeeling_District_West_Bengal.html
Shanti place,https://www.tripadvisor.in/Hotel_Review-g304557-d3783707-Reviews-Hotel_Shanti_Palace-Darjeeling_Darjeeling_District_West_Bengal.html
elgin,https://www.tripadvisor.in/Hotel_Review-g304557-d307174-Reviews-The_Elgin_Darjeeling-Darjeeling_Darjeeling_District_West_Bengal.html
seven seventeen,https://www.tripadvisor.in/Hotel_Review-g304557-d546042-Reviews-Seven_Seventeen-Darjeeling_Darjeeling_District_West_Bengal.html
serenity,https://www.tripadvisor.in/Hotel_Review-g304557-d8462619-Reviews-Serenity_Home_Darjeeling-Darjeeling_Darjeeling_District_West_Bengal.html
