year,Y,C
1959,9685,8776
1960,9735,8837
1961,9901,8873
1962,10227,9170
1963,10455,9412
1964,11061,9839
1965,11594,10331
1966,12065,10793
1967,12457,10994
1968,12892,61510
1969,13163,11820
1970,13563,11955
1971,14001,12256
1972,14512,12868
1973,15345,13371
1974,15094,52148
1975,15291,13320
1976,15738,13919
1977,16128,14364
1978,16704,14837
1979,16931,15030
1980,16940,14816
1981,17217,14879
1982,17418,14944
1983,17828,15656
1984,19011,16343
1985,19476,17040
1986,19906,17570
1987,20072,17994
1988,20740,18554
1989,21120,18898
1990,21281,32067
1991,21109,18848
1992,21548,19208
1993,21493,19593
1994,21812,20082
1995,22153,20382
1996,22546,20835
1997,23065,21365
1998,24131,22183
1999,24564,23050
2000,25472,23862
2001,25697,24215
2002,26238,24632
2003,26566,25073
2004,27274,25750
2005,27403,26290
2006,28098,26835
2007,28614,27319
