Review,DocID,title
I have bought this smartphone as a gift for my wife and she is facing several problems with the screen just after a month of usage.,1,iphone
WORST PHONE EVER. It worked well for a couple of days. Then it started failing. Apple told me the phone wasn<U+2019>t original. DONT BUY!,2,iphone
"Phone works great. Came in new condition, never used until I started using it.",3,iphone
Got my phone three days earlier than expected! Seems to work fine.,4,iphone
Works great received it fast,5,iphone
I love it. i recommend everyone to buy from this company thank you best gift i've ever receive,6,iphone
it's not original and bad quality not work normalwhen i use the head phone make  turn off the callblack screen  after 4 month used,7,iphone
Thanks,8,iphone
THE PHONE DIDN'T WORK . HAD TO RETURN IT.,9,iphone
in next day after i received this phone i want to the maintenance shop to fix the phonecchange battery and the screen,10,iphone
"This phone is not good. After only 3 months, the phone stopped working. PLEASE DO NOT BUY!",11,iphone
For my husband - happy with it,12,iphone
Speaker mic does NOT work freezes and dies and siri mic does NOT work,13,iphone
Yes my daughter loves it but the charger went out in a week i replaced it but over no problems thanks,14,iphone
Flashlight did not work and Pandora radio intermittently went out.,15,iphone
The battery doesnt really hold a charge. But other than that its good,16,iphone
"Great condition, but low quality of the boxing. The wall charger would not work and glitches in and out. The home button is a little off.",17,iphone
My phone arrived promptly and transferring my old information to the new phone was seamless.,18,iphone
It doesn't work right now. Just used it for a week. Never buy from this seller. The home button doesn't work now. Battery is even worse.,19,iphone
I<U+2019>m happy it arrived on time. I<U+2019>m enjoy it.,20,iphone
"I've had this phone for less than 5 months, and its already dead!!! The phone has an old battery and there are many glitches!! Whenever I try using, it randomly switches off at 50% or higher. This was either a used phone or a fake one!! I don't recommend people to buy it. I would like Amazon to allow me to return this phone!",21,iphone
At first I was a little iffy about this but when I  got it I was so amazed great service <U+0001F929>,22,iphone
"it is good ,but I would like to know if it is working n libya or no",23,iphone
"After only seven months of buying this phone it completely goes out on me.  Totally dead.  I had to take it today to some far away Apple Store to have it properly diagnosed and fixed, praying it was just a battery issue.  It was a hardware issue.  This ""new iPhone""  of seven months, according to the Apple employee, is actually three years old, and had been previously purchased by someone else through a Verizon store.  And it had been opened and repaired too.  I can't believe Amazon sells such a scam to its customers.  I want to be fully reimbursed for this product.  Buyers, beware.",24,iphone
"Its a fake phoneApple iPhone 6 (GSM Unlocked), 16GB, Gold",25,iphone
"Cannot hear anyone talking on speaker phone, makes weird noise and freezes, battery life is terrible was very unhappy with this purchase.",26,iphone
I hated the fact that it was unlocked!,27,iphone
it was what expected!,28,iphone
"product arrived bad, I had to return it",29,iphone
Super I love it <U+0001F60D>,30,iphone
The worst purchase I've ever done. No even a year of purchase and the cellphone stopped working and the authorized seller said it was apparently refurbished and some parts inside were not the original ones.,31,iphone
"This is very bad product. The screen is taken a part and I can even see the inside material. It work okay, but it was use phone and they didn't fix correctly.",32,iphone
"Ordered This iphone last summer... started using it late November of 2017... Since the beginning it has been dropping calls, I did not have this problem with my old iphone. I took it to tech support at my service provider they replaced the sim and it still drops calls. Now today the homebutton stopped working all of a sudden. I'm nowhere close to having this repaired and it's crazy how it just stopped working at once... it's beyond inconvenient not having my fingerprint code & missing important work calls.... what are the warranty's on this product?!",33,iphone
It came all messed up,34,iphone
perfect for my daughter,35,iphone
Phone arrived as expected with no problems.,36,iphone
AMAZING!,37,iphone
is very good,38,iphone
"This phone is absolutely NOT new... I have bought this for my sister as a gift and, after one year of use she brought it to iPhone store and they verified that, the phone's screen was replaced twice. The whole phone was reassembled.",39,iphone
"I am very happy with this purchase.Initially I worried after reading some reviews...However so far I<U+2019>ve been very satisfied, the package came quickly, the phone is in great condition, works like brand new:) No issues so far<U+0001F44D><U+0001F3FB>",40,iphone
